Segment,Start Date,Users,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18
"",All time,1,1.0,0.7992,0.7495,0.7265,0.7077,0.6904,0.6762,0.6670999999999999,0.6574,0.6495000000000001,0.6418,0.6381,0.6347999999999999,0.6236,0.6114999999999999,0.6068,0.6041,NaN,NaN
"Trial, Paid; android, ios","Oct 08, 2018",17658,100.0,82.1,77.4,76.95,74.86,72.94,71.54,70.19,68.83,66.56,62.2,62.88,64.2,62.35,60.29,59.79,60.41,54.32,16.93
"Trial, Paid; android, ios","Oct 15, 2018",17343,100.0,82.21,79.36,77.1,75.04,73.53,71.95,70.65,67.92,63.6,64.34,65.38,63.89,61.28,60.7,61.59,55.22,17.14,0
"Trial, Paid; android, ios","Oct 22, 2018",16768,100.0,83.93,80.25,77.48,75.87,73.96,72.26,69.55,65.17,65.45,67.03,65.05,62.33,62.34,62.53,56.38,17.97,0,0
"Trial, Paid; android, ios","Oct 29, 2018",17539,100.0,83.97,80.07,77.67,75.61,74.04,70.51,65.94,66.55,67.74,66.06,63.34,63.41,63.44,56.66,17.21,0,0,0
"Trial, Paid; android, ios","Nov 05, 2018",18641,100.0,84.21,79.55,77.24,74.68,71.97,67.1,67.32,68.57,66.43,63.51,62.98,63.52,56.92,17.89,0,0,0,0
"Trial, Paid; android, ios","Nov 12, 2018",19407,100.0,83.23,78.6,75.81,72.9,67.75,67.15,68.76,66.94,63.82,63.51,63.39,56.78,17.78,0,0,0,0,0
"Trial, Paid; android, ios","Nov 19, 2018",19768,100.0,82.18,77.13,73.74,68.73,67.82,68.69,66.6,64.19,63.01,63.01,56.39,17.79,0,0,0,0,0,0
"Trial, Paid; android, ios","Nov 26, 2018",20472,100.0,81.62,75.75,70.16,69.12,69.91,67.08,64.56,63.77,63.52,56.66,17.56,0,0,0,0,0,0,0
"Trial, Paid; android, ios","Dec 03, 2018",9390,100.0,76.6,65.12,62.3,63.47,60.38,56.85,55.59,54.94,49.64,21.0,0,0,0,0,0,0,0,0
"Trial, Paid; android, ios","Dec 10, 2018",22345,100.0,75.64,71.63,71.75,69.45,65.43,64.18,63.79,57.25,16.83,0,0,0,0,0,0,0,0,0
"Trial, Paid; android, ios","Dec 17, 2018",22537,100.0,76.77,73.44,70.16,66.77,64.76,63.79,57.05,17.54,0,0,0,0,0,0,0,0,0,0
"Trial, Paid; android, ios","Dec 24, 2018",22359,100.0,78.83,72.25,68.5,66.96,65.37,57.36,14.7,0,0,0,0,0,0,0,0,0,0,0
"Trial, Paid; android, ios","Dec 31, 2018",24791,100.0,77.5,70.35,68.44,67.41,59.13,15.06,0,0,0,0,0,0,0,0,0,0,0,0
"Trial, Paid; android, ios","Jan 07, 2019",25221,100.0,76.82,71.31,69.96,62.25,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trial, Paid; android, ios","Jan 14, 2019",24709,100.0,77.65,73.07,64.26,20.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trial, Paid; android, ios","Jan 21, 2019",24053,100.0,78.94,67.57,21.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trial, Paid; android, ios","Jan 28, 2019",25329,100.0,73.33,22.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trial, Paid; android, ios","Feb 04, 2019",26375,100.0,24.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trial, Paid; android, ios","Feb 11, 2019",11958,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
