Segment,Start Date,Users,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14
"",All time,100,90.93,49.0,30.32,24.66,28.99,24.79,20.59,18.73,20.75,20.49,17.9,16.89,17.78,NaN,NaN
"android; Paid, Trial","Oct 29, 2018",405,89.14,56.3,35.06,29.38,29.14,25.43,22.72,19.26,20.99,22.22,18.02,16.54,17.78,13.09,0.74
"android; Paid, Trial","Nov 05, 2018",548,91.24,55.84,37.41,31.2,28.1,26.28,21.17,22.45,24.27,20.99,18.98,17.15,13.32,1.09,0
"android; Paid, Trial","Nov 12, 2018",684,91.37,53.07,34.8,28.51,30.99,27.49,23.83,19.59,23.1,19.44,16.96,13.01,0.44,0,0
"android; Paid, Trial","Nov 19, 2018",744,89.92,50.0,33.74,24.46,28.76,25.4,22.72,19.62,20.97,20.16,15.86,0.4,0,0,0
"android; Paid, Trial","Nov 26, 2018",852,80.28,45.07,25.0,20.42,22.18,20.66,15.61,13.62,16.31,12.79,0.23,0,0,0,0
"android; Paid, Trial","Dec 03, 2018",1001,92.91,48.55,29.77,25.27,32.27,25.37,19.78,19.58,17.48,1.0,0,0,0,0,0
"android; Paid, Trial","Dec 10, 2018",1031,93.02,48.21,30.75,26.48,30.75,25.7,20.66,14.65,0.29,0,0,0,0,0,0
"android; Paid, Trial","Dec 17, 2018",903,91.69,49.06,30.01,20.49,28.46,23.26,17.05,0.55,0,0,0,0,0,0,0
"android; Paid, Trial","Dec 24, 2018",920,92.07,46.85,28.48,23.7,29.46,22.07,0.33,0,0,0,0,0,0,0,0
"android; Paid, Trial","Dec 31, 2018",970,91.65,48.14,27.01,22.37,22.58,0.31,0,0,0,0,0,0,0,0,0
"android; Paid, Trial","Jan 07, 2019",950,93.16,47.37,28.63,19.68,0.32,0,0,0,0,0,0,0,0,0,0
"android; Paid, Trial","Jan 14, 2019",819,92.43,47.37,27.47,0.49,0,0,0,0,0,0,0,0,0,0,0
"android; Paid, Trial","Jan 21, 2019",763,91.09,44.82,1.97,0,0,0,0,0,0,0,0,0,0,0,0
"android; Paid, Trial","Jan 28, 2019",763,90.3,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0
"android; Paid, Trial","Feb 04, 2019",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
